Items,Description,Real Price,% Discount,Discounted Price,Images
RUFFLED PRINTED MINI DRESS,V-neck dress with short sleeves. Elastic waist. Front ruffle detail. Interior lining.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/62bb/1cc5/e7f44baa9f54/0cbbf8dce36c/09878115330-p/09878115330-p.jpg?ts=1709571041068&w=477', 'https://static.zara.net/assets/public/5718/cc5f/06c549f690f6/7563aa2477c3/09878115330-a1/09878115330-a1.jpg?ts=1709571037434&w=477', 'https://static.zara.net/assets/public/7538/f3b6/6dc149f7a020/58f6a0f1071a/12332310001-e1/12332310001-e1.jpg?ts=1709140385142&w=151', 'https://static.zara.net/assets/public/cc98/b86b/98db4a1aa0f9/4a7b68040f2d/24770701431-e1/24770701431-e1.jpg?ts=1711454441303&w=151', 'https://static.zara.net/assets/public/e37a/c6de/6a8344a083bc/c7035b2d2528/4000.jpg?ts=1691502195375&w=151', 'https://static.zara.net/assets/public/e4c7/3d31/f1644943a2a3/f1b2cb4f5690/01758816800-e1/01758816800-e1.jpg?ts=1709736490622&w=151', 'https://static.zara.net/assets/public/320e/08f0/799c45639c2b/4e9e844e3582/01758817800-e1/01758817800-e1.jpg?ts=1709736492184&w=151', 'https://static.zara.net/assets/public/45c2/97d9/6522480280bb/eebabbc6347c/01165070093-e1/01165070093-e1.jpg?ts=1710845364297&w=151']"
RIB MOCK NECK MIDI DRESS,Fitted midi dress with high collar and cap sleeves.,$ 35.90,-44%,$ 19.99,"['https://static.zara.net/assets/public/8f60/2490/16d849f085c6/581d49921492/04174308700-p/04174308700-p.jpg?ts=1706712457551&w=477', 'https://static.zara.net/assets/public/4509/8bbe/967a45f4815b/fa576c2a28c9/04174308700-a1/04174308700-a1.jpg?ts=1706712457667&w=477', 'https://static.zara.net/assets/public/1896/a959/5b574d5ca360/cf05eb0bde7a/24400479184-e1/24400479184-e1.jpg?ts=1712138289019&w=151', 'https://static.zara.net/assets/public/e37a/c6de/6a8344a083bc/c7035b2d2528/4000.jpg?ts=1691502195375&w=151', 'https://static.zara.net/assets/public/e4c7/3d31/f1644943a2a3/f1b2cb4f5690/01758816800-e1/01758816800-e1.jpg?ts=1709736490622&w=151', 'https://static.zara.net/assets/public/320e/08f0/799c45639c2b/4e9e844e3582/01758817800-e1/01758817800-e1.jpg?ts=1709736492184&w=151', 'https://static.zara.net/assets/public/ca7d/1f9b/46954e0e8d2b/0775bdc0d250/08779164044-e1/08779164044-e1.jpg?ts=1709300686295&w=151', 'https://static.zara.net/assets/public/1480/a788/d64c47eabdf1/9d96c4082f57/04661305529-e1/04661305529-e1.jpg?ts=1708090649223&w=151']"
FLOWY LAPEL COLLAR DRESS,Straight fit mini dress. V-neck lapel collar. Long sleeves with shoulder pads.,$ 39.90,-42%,$ 22.99,"['https://static.zara.net/assets/public/8e66/f27d/da5b46c39809/cafe4c09eeff/01058021800-p/01058021800-p.jpg?ts=1707484794899&w=477', 'https://static.zara.net/assets/public/478c/bb90/00b74a6fb564/40f145bc1539/01058021800-a1/01058021800-a1.jpg?ts=1707484795828&w=477', 'https://static.zara.net/assets/public/cc98/b86b/98db4a1aa0f9/4a7b68040f2d/24770701431-e1/24770701431-e1.jpg?ts=1711454441303&w=151', 'https://static.zara.net/assets/public/3146/4201/188844e0915f/1956c11a0f3a/4000.jpg?ts=1692891229409&w=151', 'https://static.zara.net/assets/public/48b1/5898/542d4ace9ac6/6a3d289a1fda/02488853621-e1/02488853621-e1.jpg?ts=1707240807629&w=151', 'https://static.zara.net/assets/public/ad50/0cdb/70b24f989d09/b4b5e21892f8/02595140801-e1/02595140801-e1.jpg?ts=1708074137491&w=151', 'https://static.zara.net/assets/public/9eba/d66a/456a4a88b1c1/bcc93585f0f2/05039302800-e1/05039302800-e1.jpg?ts=1706260157481&w=151', 'https://static.zara.net/assets/public/b634/145f/ff5846b99ff1/fc238af83c1a/04174308700-e1/04174308700-e1.jpg?ts=1706712437185&w=151']"
GEOMETRIC PRINT DRESS,Satin effect mini dress with lapel collar and long sleeves. Front pleat detail at waist. Front button closure.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/3223/b21e/2bb34b08aae6/11a84032de72/02829145330-p/02829145330-p.jpg?ts=1709138528127&w=477', 'https://static.zara.net/assets/public/7cce/80f6/0c7a4b7c99c6/0fcf47555616/02829145330-a1/02829145330-a1.jpg?ts=1709138511208&w=477', 'https://static.zara.net/assets/public/a076/63d7/529b45149f9b/c9ef91316693/1654256307396/1654256307396.jpg?ts=1704450591955&w=151', 'https://static.zara.net/assets/public/e37a/c6de/6a8344a083bc/c7035b2d2528/4000.jpg?ts=1691502195375&w=151', 'https://static.zara.net/assets/public/4874/949b/8d6747c7bbce/7381558b4674/01355101830-e1/01355101830-e1.jpg?ts=1709736492479&w=151', 'https://static.zara.net/assets/public/24f5/9bf0/86e84b3d8a5a/24eff7cc7965/01058021800-e1/01058021800-e1.jpg?ts=1707510952372&w=151', 'https://static.zara.net/assets/public/ad50/0cdb/70b24f989d09/b4b5e21892f8/02595140801-e1/02595140801-e1.jpg?ts=1708074137491&w=151', 'https://static.zara.net/assets/public/d2ca/5ede/3fd746d4aa03/2eaa712a4298/02737839070-e1/02737839070-e1.jpg?ts=1709736524622&w=151']"
MIXED SEMI-SHEER SLIP DRESS,Long sleeveless dress with wrap V-neckline. Matching semi-sheer fabric trim and back detail. Self belt. Front slit at hem. Side hidden in-seam zip closure.,$ 69.90,-28%,$ 49.99,"['https://static.zara.net/assets/public/a84b/f449/4407432082b1/6243caa64d36/07969027712-p/07969027712-p.jpg?ts=1710435717133&w=477', 'https://static.zara.net/assets/public/4723/0085/be86497f8ca4/4d346230b321/07969027712-a1/07969027712-a1.jpg?ts=1710435730939&w=477', 'https://static.zara.net/assets/public/d7c8/2ee1/fbd340aa9b67/9b3e18003e66/12355310800-e1/12355310800-e1.jpg?ts=1710512032912&w=151', 'https://static.zara.net/assets/public/f70d/daf4/a72c43c698ed/21fe6e79d71d/01355802800-e1/01355802800-e1.jpg?ts=1708531688540&w=151', 'https://static.zara.net/assets/public/eeb4/a19c/15464d029e07/1d7706eda865/01355812800-e1/01355812800-e1.jpg?ts=1708531689904&w=151', 'https://static.zara.net/assets/public/560a/7d38/669641fa859c/e85427c1e125/01223916942-e1/01223916942-e1.jpg?ts=1716472143934&w=151', 'https://static.zara.net/assets/public/cc98/b86b/98db4a1aa0f9/4a7b68040f2d/24770701431-e1/24770701431-e1.jpg?ts=1711454441303&w=151', 'https://static.zara.net/assets/public/e37a/c6de/6a8344a083bc/c7035b2d2528/4000.jpg?ts=1691502195375&w=151']"
DRAPED HALTER DRESS,Mini dress made of knit fabric. Pronounced halter V-neckline. Ruched fabric. Tonal interior lining. Side hidden in-seam zip closure.,$ 49.90,-39%,$ 29.99,"['https://static.zara.net/assets/public/32f7/1ade/1e7340599afb/24194b6471de/08342311600-p/08342311600-p.jpg?ts=1712244237103&w=477', 'https://static.zara.net/assets/public/f8bd/f030/5b1f48b1b0f5/ca01ff08dba8/08342311600-a1/08342311600-a1.jpg?ts=1712244243046&w=477', 'https://static.zara.net/assets/public/d886/3986/a24e4551aaf1/046f8234785d/13334310800-e1/13334310800-e1.jpg?ts=1711536014895&w=151', 'https://static.zara.net/assets/public/b2d6/25e3/10a14ee5b767/a56f527e58ab/01355814800-e1/01355814800-e1.jpg?ts=1714136136164&w=151', 'https://static.zara.net/assets/public/f70d/daf4/a72c43c698ed/21fe6e79d71d/01355802800-e1/01355802800-e1.jpg?ts=1708531688540&w=151', 'https://static.zara.net/assets/public/b4cc/a077/f5354c4ea94a/07d68f83e211/01223916613-e1/01223916613-e1.jpg?ts=1712322188062&w=151', 'https://static.zara.net/assets/public/5a3a/4b8a/928a47f3a4fa/27f8a15b8139/24400478666-e1/24400478666-e1.jpg?ts=1711379552387&w=151', 'https://static.zara.net/assets/public/7926/7013/6c9344348c47/2bb66c40eb2d/4000.jpg?ts=1691502728491&w=151']"
DRAPED WAIST MIDI DRESS,Lapel collar dress with long sleeves and epaulettes. Front patch pockets with flaps. Tailored waist with side gathers. Slit at hem. Front button and side hidden in-seam zip closure.,$ 69.90,-28%,$ 49.99,"['https://static.zara.net/assets/public/af61/66bd/f3514b2eba36/503659f672a5/09878072721-015-p/09878072721-015-p.jpg?ts=1708688627391&w=477', 'https://static.zara.net/assets/public/735a/380b/0a484ff8b528/65aae09c3c87/09878072721-015-a1/09878072721-015-a1.jpg?ts=1708688621017&w=477', 'https://static.zara.net/assets/public/a076/63d7/529b45149f9b/c9ef91316693/1654256307396/1654256307396.jpg?ts=1704450591955&w=151', 'https://static.zara.net/assets/public/9205/dec2/06f64d5685b2/1d203be3f188/20110674999-e1/20110674999-e1.jpg?ts=1709215869786&w=151', 'https://static.zara.net/assets/public/8549/4b9f/20774a29855a/7510c5e37b14/01758818811-e1/01758818811-e1.jpg?ts=1709113165863&w=151', 'https://static.zara.net/assets/public/ad50/0cdb/70b24f989d09/b4b5e21892f8/02595140801-e1/02595140801-e1.jpg?ts=1708074137491&w=151', 'https://static.zara.net/assets/public/c3b3/0591/3ddf4522bd3b/69cf0c7f8305/02829145330-e1/02829145330-e1.jpg?ts=1709725165764&w=151', 'https://static.zara.net/assets/public/7466/1bf3/61eb4e5aaab2/9038fe520e25/08342311600-e1/08342311600-e1.jpg?ts=1712317558480&w=151']"
LONG RIBBED DRESS,Long round neck tank dress. Rib fabric detail.,$ 45.90,-21%,$ 35.99,"['https://static.zara.net/assets/public/eaa5/c7d8/7eb7483dbd0e/adb961ddb4a3/01165235250-p/01165235250-p.jpg?ts=1712923278699&w=477', 'https://static.zara.net/assets/public/c3d0/7044/6bfe41ba81f8/c8613f33df28/01165235250-a1/01165235250-a1.jpg?ts=1712926639083&w=477', 'https://static.zara.net/assets/public/b5f7/9812/dbbb4ced9958/aef90447235a/11626310800-e1/11626310800-e1.jpg?ts=1711457709072&w=151', 'https://static.zara.net/assets/public/ace8/93c2/67b4446692fe/4220ddc689df/1638466168656/1638466168656.jpg?ts=1701714850327&w=151', 'https://static.zara.net/assets/public/d538/6c0f/fb504d28bb43/4be9863a2330/1685544907397/1685544907397.jpg?ts=1703141123867&w=151', 'https://static.zara.net/assets/public/c315/2ff9/76aa40589ce4/14bd2004d486/01758812420-10-e1/01758812420-10-e1.jpg?ts=1710757456972&w=151', 'https://static.zara.net/assets/public/7248/fd7e/c34f436e8767/76634e83dd94/02335636800-e1/02335636800-e1.jpg?ts=1706798749781&w=151', 'https://static.zara.net/assets/public/688b/8bf3/c7f5413ea6b0/808b3efef4f6/05039181250-e1/05039181250-e1.jpg?ts=1712135170725&w=151']"
CREPE MIDI DRESS,V-neck dress with double spaghetti straps. Front slit at hem.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/04cb/c149/1b5f44059c8b/566c9012bb64/02157024800-p/02157024800-p.jpg?ts=1711472802686&w=477', 'https://static.zara.net/assets/public/af3a/a47a/73f74091996b/7b72778b8615/02157024800-a1/02157024800-a1.jpg?ts=1711472808454&w=477', 'https://static.zara.net/assets/public/cb5d/b31a/7a644c78af22/40f8fb7a3adc/12234310800-020-e1/12234310800-020-e1.jpg?ts=1707473078627&w=151', 'https://static.zara.net/assets/public/f70d/daf4/a72c43c698ed/21fe6e79d71d/01355802800-e1/01355802800-e1.jpg?ts=1708531688540&w=151', 'https://static.zara.net/assets/public/eeb4/a19c/15464d029e07/1d7706eda865/01355812800-e1/01355812800-e1.jpg?ts=1708531689904&w=151', 'https://static.zara.net/assets/public/560a/7d38/669641fa859c/e85427c1e125/01223916942-e1/01223916942-e1.jpg?ts=1716472143934&w=151', 'https://static.zara.net/assets/public/ace8/93c2/67b4446692fe/4220ddc689df/1638466168656/1638466168656.jpg?ts=1701714850327&w=151', 'https://static.zara.net/assets/public/34db/42d8/b55e48528afa/11b27301fb43/4000.jpg?ts=1692891220406&w=151']"
EMBROIDERED MINI DRESS ZW COLLECTION,"ZARA WOMAN COLLECTION

Mini dress with squared neckline and wide straps. Floral embroidery. Tonal interior viscose lining.",$ 109.00,-35%,$ 69.99,"['https://static.zara.net/assets/public/849d/975c/925e4c989a9e/ed6a12541a9b/04786244251-001-p/04786244251-001-p.jpg?ts=1716545327914&w=477', 'https://static.zara.net/assets/public/cb20/bde0/c3cb46e7ad7b/0153e403af5a/04786244251-001-a1/04786244251-001-a1.jpg?ts=1716545327261&w=477', 'https://static.zara.net/assets/public/fb38/dfd1/a5d8411b9fc6/dab70f31a216/11621310001-e1/11621310001-e1.jpg?ts=1707927547008&w=151', 'https://static.zara.net/assets/public/0c3d/5492/9c04435aa60c/059042b69123/04736030808-e1/04736030808-e1.jpg?ts=1712068660898&w=151', 'https://static.zara.net/assets/public/1896/a959/5b574d5ca360/cf05eb0bde7a/24400479184-e1/24400479184-e1.jpg?ts=1712138289019&w=151', 'https://static.zara.net/assets/public/7926/7013/6c9344348c47/2bb66c40eb2d/4000.jpg?ts=1691502728491&w=151', 'https://static.zara.net/assets/public/e3f5/0be8/ce1345f6a574/ac89cba47c81/02157024800-e1/02157024800-e1.jpg?ts=1706803518771&w=151', 'https://static.zara.net/assets/public/2a96/c396/27e2432f91c1/3a24e1cbe2f6/07200302250-e1/07200302250-e1.jpg?ts=1707900988716&w=151']"
ZW COLLECTION PRINTED ASYMMETRIC DRESS,"ZARA WOMAN COLLECTION

Dress made of a linen blend. Asymmetric neckline with long sleeves. Side ruched detail. Slit hem. Side hidden in-seam zip closure.",$ 129.00,-45%,$ 69.99,"['https://static.zara.net/assets/public/9205/9df4/c10a4e968ee9/982bf70593ef/02871138500-2-p/02871138500-2-p.jpg?ts=1711560015015&w=477', 'https://static.zara.net/assets/public/94a7/2002/376a4267a7e8/8c1e72e3b8e0/02871138500-2-a1/02871138500-2-a1.jpg?ts=1711560016082&w=477', 'https://static.zara.net/assets/public/fe65/10ed/cdca449f90f4/65dc3bd5687e/1670244181378/1670244181378.jpg?ts=1701065353789&w=151', 'https://static.zara.net/assets/public/d538/6c0f/fb504d28bb43/4be9863a2330/1685544907397/1685544907397.jpg?ts=1703141123867&w=151', 'https://static.zara.net/assets/public/6d09/b68b/75994ce0a0a3/13d40e94e9f7/01228817800-e1/01228817800-e1.jpg?ts=1710774138206&w=151', 'https://static.zara.net/assets/public/8e1d/5eac/4e75470cb169/0331a55d5616/01228818800-e1/01228818800-e1.jpg?ts=1710774136027&w=151', 'https://static.zara.net/assets/public/c3b3/0591/3ddf4522bd3b/69cf0c7f8305/02829145330-e1/02829145330-e1.jpg?ts=1709725165764&w=151', 'https://static.zara.net/assets/public/2a96/c396/27e2432f91c1/3a24e1cbe2f6/07200302250-e1/07200302250-e1.jpg?ts=1707900988716&w=151']"
SHORT FITTED DRESS,Fitted mini dress with straight neck and adjustable spaghetti straps.,$ 25.90,-49%,$ 12.99,"['https://static.zara.net/assets/public/86c3/de6f/29b847889c22/add0dac33b05/04424304630-p/04424304630-p.jpg?ts=1709743366830&w=477', 'https://static.zara.net/assets/public/c9ff/938c/90624ad8be06/53a5666f6483/04424304630-a1/04424304630-a1.jpg?ts=1709743371558&w=477', 'https://static.zara.net/assets/public/6aa4/44de/5a2146e49612/a362029d0e55/05320715809-e1/05320715809-e1.jpg?ts=1707238497815&w=151', 'https://static.zara.net/assets/public/b4b1/8051/17ff4dbe8398/167c45a33a7d/13303310800-e1/13303310800-e1.jpg?ts=1706713136758&w=151', 'https://static.zara.net/assets/public/fe65/10ed/cdca449f90f4/65dc3bd5687e/1670244181378/1670244181378.jpg?ts=1701065353789&w=151', 'https://static.zara.net/assets/public/9205/dec2/06f64d5685b2/1d203be3f188/20110674999-e1/20110674999-e1.jpg?ts=1709215869786&w=151', 'https://static.zara.net/assets/public/503d/3b54/8ad04944ba67/de9a0c0521f4/01758812942-10-e1/01758812942-10-e1.jpg?ts=1710757458110&w=151', 'https://static.zara.net/assets/public/c4b9/7d57/3adf44a3bb28/825b95660887/04424304600-e1/04424304600-e1.jpg?ts=1709653755323&w=151']"
WASHED EFFECT RIBBED DRESS,"Sleeveless fitted mini dress with round neckline. Washed effect fabric.

Due to the dyeing and washing processes, the color on each item is unique and special and may differ slightly from the one pictured.",$ 25.90,-49%,$ 12.99,"['https://static.zara.net/assets/public/c060/37e5/07bc4a1da0dc/27691ce7042d/03253341406-p/03253341406-p.jpg?ts=1711557124177&w=477', 'https://static.zara.net/assets/public/232a/fdc6/2f8443689324/1f02555c359e/03253341406-a1/03253341406-a1.jpg?ts=1711557131140&w=477', 'https://static.zara.net/assets/public/1896/a959/5b574d5ca360/cf05eb0bde7a/24400479184-e1/24400479184-e1.jpg?ts=1712138289019&w=151', 'https://static.zara.net/assets/public/3146/4201/188844e0915f/1956c11a0f3a/4000.jpg?ts=1692891229409&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151', 'https://static.zara.net/assets/public/95f5/1514/02b148b49fce/c04bafce27e3/03253341506-e1/03253341506-e1.jpg?ts=1711541712166&w=151', 'https://static.zara.net/assets/public/aa42/5b5b/d0df4949b0af/99577e225c87/03253341802-e1/03253341802-e1.jpg?ts=1711541716055&w=151']"
MIDI DRESS ZW COLLECTION,"ZARA WOMAN COLLECTION

Sleeveless round neck midi dress with tonal passementerie. Pronounced seam detail. Back hidden in-seam zip closure.",$ 69.90,-28%,$ 49.99,"['https://static.zara.net/assets/public/52ac/0e97/8a5746f788b9/8366c939dc2f/02244188446-p/02244188446-p.jpg?ts=1706701909403&w=477', 'https://static.zara.net/assets/public/ee12/3499/5f3c408682a0/45f0881bb584/02244188446-a1/02244188446-a1.jpg?ts=1706701904491&w=477', 'https://static.zara.net/assets/public/5a3a/4b8a/928a47f3a4fa/27f8a15b8139/24400478666-e1/24400478666-e1.jpg?ts=1711379552387&w=151', 'https://static.zara.net/assets/public/3146/4201/188844e0915f/1956c11a0f3a/4000.jpg?ts=1692891229409&w=151', 'https://static.zara.net/assets/public/e4c7/3d31/f1644943a2a3/f1b2cb4f5690/01758816800-e1/01758816800-e1.jpg?ts=1709736490622&w=151', 'https://static.zara.net/assets/public/320e/08f0/799c45639c2b/4e9e844e3582/01758817800-e1/01758817800-e1.jpg?ts=1709736492184&w=151', 'https://static.zara.net/assets/public/10a0/604b/556142498277/8952659695b0/02513750500-e1/02513750500-e1.jpg?ts=1706866527382&w=151', 'https://static.zara.net/assets/public/ca7d/1f9b/46954e0e8d2b/0775bdc0d250/08779164044-e1/08779164044-e1.jpg?ts=1709300686295&w=151']"
PLEATED SHIRTDRESS ZW COLLECTION,"ZARA WOMAN COLLECTION

Round neck shirtdress with long sleeves with pleated cuffs. Side patch pocket. Front box pleat fabric overlay detail. Adjustable side strap with contrasting buckle. Slits at hem. Front button closure hidden by a flap.

A renewed vision of the fundamental shirtdress in a contemporary vein whose subtle design employs details like pockets or ornamental buttons. The straight cut and midi length silhouette are stylized with the fluid fabric and a pleated detail that stays gathered at the waist with a side strap.",$ 139.00,-35%,$ 89.99,"['https://static.zara.net/assets/public/2678/1ecb/8b214c2e9549/40231f24d0be/02547509507-p/02547509507-p.jpg?ts=1707299377557&w=477', 'https://static.zara.net/assets/public/0b50/6ad6/bbad4f1eb5b6/7d17c94ba573/02547509507-e1/02547509507-e1.jpg?ts=1707229613531&w=477', 'https://static.zara.net/assets/public/fe65/10ed/cdca449f90f4/65dc3bd5687e/1670244181378/1670244181378.jpg?ts=1701065353789&w=151', 'https://static.zara.net/assets/public/0be4/6adb/0b1e436a8c28/713d57ddcbfa/1679046850763/1679046850763.jpg?ts=1703643807487&w=151', 'https://static.zara.net/assets/public/48b1/5898/542d4ace9ac6/6a3d289a1fda/02488853621-e1/02488853621-e1.jpg?ts=1707240807629&w=151', 'https://static.zara.net/assets/public/ec38/a830/59bd4033ae53/87f450fad9d5/02244188446-e1/02244188446-e1.jpg?ts=1706635594947&w=151', 'https://static.zara.net/assets/public/893a/9566/9bc9477fa622/908d355f090b/03519154800-e1/03519154800-e1.jpg?ts=1707511067091&w=151', 'https://static.zara.net/assets/public/f045/b8b4/58d44af5a3c2/0b92247b90e6/01044156800-e1/01044156800-e1.jpg?ts=1706798722815&w=151']"
MINI DRESS WITH BUTTONS,Crepe dress with spaghetti straps. Front false buttons. Back hidden in-seam zip closure.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/c02d/8a28/29c740f28649/67759e420338/01165057800-p/01165057800-p.jpg?ts=1709206404447&w=477', 'https://static.zara.net/assets/public/ecfd/55c5/44f24beebf4a/88301e96abde/01165057800-a1/01165057800-a1.jpg?ts=1709206394868&w=477', 'https://static.zara.net/assets/public/f70d/daf4/a72c43c698ed/21fe6e79d71d/01355802800-e1/01355802800-e1.jpg?ts=1708531688540&w=151', 'https://static.zara.net/assets/public/eeb4/a19c/15464d029e07/1d7706eda865/01355812800-e1/01355812800-e1.jpg?ts=1708531689904&w=151', 'https://static.zara.net/assets/public/560a/7d38/669641fa859c/e85427c1e125/01223916942-e1/01223916942-e1.jpg?ts=1716472143934&w=151', 'https://static.zara.net/assets/public/5176/0c72/6a174b3487de/c4d250cb1a75/24390205807-e1/24390205807-e1.jpg?ts=1712659087647&w=151', 'https://static.zara.net/assets/public/3146/4201/188844e0915f/1956c11a0f3a/4000.jpg?ts=1692891229409&w=151', 'https://static.zara.net/assets/public/e3f5/0be8/ce1345f6a574/ac89cba47c81/02157024800-e1/02157024800-e1.jpg?ts=1706803518771&w=151']"
WASHED EFFECT RIBBED DRESS,"Sleeveless fitted mini dress with round neckline. Washed effect fabric.

Due to the dyeing and washing processes, the color on each item is unique and special and may differ slightly from the one pictured.",$ 25.90,-49%,$ 12.99,"['https://static.zara.net/assets/public/c060/37e5/07bc4a1da0dc/27691ce7042d/03253341406-p/03253341406-p.jpg?ts=1711557124177&w=477', 'https://static.zara.net/assets/public/232a/fdc6/2f8443689324/1f02555c359e/03253341406-a1/03253341406-a1.jpg?ts=1711557131140&w=477', 'https://static.zara.net/assets/public/1896/a959/5b574d5ca360/cf05eb0bde7a/24400479184-e1/24400479184-e1.jpg?ts=1712138289019&w=151', 'https://static.zara.net/assets/public/3146/4201/188844e0915f/1956c11a0f3a/4000.jpg?ts=1692891229409&w=151', 'https://static.zara.net/assets/public/fa8c/3b62/26774a86a772/f3569695896f/02678800832-e1/02678800832-e1.jpg?ts=1707299709794&w=151', 'https://static.zara.net/assets/public/8c00/e0c9/9ead4c0e9e02/73e32acc8dff/02678801832-e1/02678801832-e1.jpg?ts=1707299712158&w=151', 'https://static.zara.net/assets/public/95f5/1514/02b148b49fce/c04bafce27e3/03253341506-e1/03253341506-e1.jpg?ts=1711541712166&w=151', 'https://static.zara.net/assets/public/aa42/5b5b/d0df4949b0af/99577e225c87/03253341802-e1/03253341802-e1.jpg?ts=1711541716055&w=151']"
